iter	Passed	Remaining
0	12494	12482175
1	25693	12820955
2	39862	13247747
3	55016	13699058
4	68114	13554765
5	81288	13466719
6	96133	13637162
7	109237	13545497
8	122394	13476940
9	137573	13619759
10	150686	13548048
11	163944	13498124
12	178947	13586274
13	192118	13530611
14	205224	13476383
15	220324	13549938
16	222773	12881551
17	235923	12870940
18	249080	12860412
19	264065	12939202
20	277308	12927858
21	290420	12910520
22	305726	12986717
23	318943	12970378
24	332177	12954936
25	347503	13018030
26	360659	12997093
27	373780	12975523
28	388961	13023496
29	402199	13004465
30	415401	12984660
31	430478	13021982
32	443603	12998932
33	456837	12979570
34	472238	13020289
35	485498	13000570
36	498691	12979445
37	513895	13009672
38	527127	12988951
39	540305	12967334
40	555210	12986500
41	568386	12964616
42	581603	12944066
43	596872	12968402
44	610151	12948777
45	623385	12928471
46	638640	12949454
47	651897	12929306
48	665189	12910099
49	680097	12921861
50	693268	12900234
51	706383	12877912
52	721819	12897425
53	735003	12876165
54	748303	12857220
55	763569	12871592
56	776804	12851338
57	790015	12830949
58	805059	12840018
59	818129	12817360
60	831241	12795662
61	846628	12808677
62	859801	12787838
63	873075	12768723
64	888267	12777382
65	901440	12756744
66	914552	12735479
67	929915	12745315
68	943190	12726231
69	956388	12706300
70	971530	12712001
71	984667	12691273
72	997934	12672397
73	1012788	12673536
74	1025954	12653437
75	1039168	12634106
76	1054370	12638751
77	1067594	12619516
78	1080770	12599871
79	1095817	12601903
80	1109048	12582904
81	1122194	12563108
82	1137478	12567079
83	1150626	12547308
84	1163743	12527357
85	1178944	12529716
86	1192187	12511115
87	1205424	12492582
88	1220712	12495161
89	1233854	12475635
90	1247028	12456580
91	1262062	12456008
92	1275175	12436388
93	1288279	12416824
94	1303514	12417693
95	1316680	12398739
96	1329871	12380145
97	1345100	12380414
98	1358277	12361694
99	1371433	12342905
100	1386435	12340645
101	1399644	12322362
102	1412922	12304774
103	1428187	12304387
104	1441290	12285289
105	1454435	12266656
106	1469440	12263648
107	1482581	12245023
108	1495714	12226440
109	1510934	12224834
110	1524097	12206508
111	1537215	12187925
112	1552258	12184541
113	1565424	12166366
114	1578554	12148004
115	1593772	12145645
116	1606944	12127621
117	1620117	12109691
118	1635094	12105195
119	1648143	12086389
120	1661324	12068632
121	1676598	12066015
122	1689769	12048194
123	1702949	12030510
124	1717957	12025705
125	1731094	12007749
126	1744181	11989533
127	1759454	11986281
128	1772600	11968485
129	1785800	11951128
130	1800735	11945338
131	1813796	11927083
132	1826870	11908997
133	1842306	11906250
134	1855420	11888432
135	1868620	11871235
136	1883926	11867359
137	1897112	11850078
138	1910254	11832582
139	1925388	11827387
140	1938588	11810268
141	1951683	11792568
142	1966782	11786944
143	1979984	11769906
144	1993180	11752892
145	2008278	11747050
146	2021374	11729472
147	2034489	11712063
148	2049961	11708170
149	2063093	11690863
150	2076292	11673987
151	2091493	11668332
152	2104628	11651110
153	2117865	11634505
154	2133337	11630131
155	2146399	11612571
156	2159497	11595263
157	2174651	11588966
158	2187819	11572049
159	2201005	11555280
160	2215908	11547499
161	2229083	11530690
162	2242248	11513878
163	2257354	11507000
164	2270487	11490042
165	2283647	11473266
166	2298656	11465751
167	2311774	11448785
168	2324938	11432094
169	2340305	11426197
170	2353440	11409370
171	2366640	11392895
172	2381730	11385499
173	2394851	11368660
174	2407927	11351659
175	2423130	11344656
176	2436226	11327765
177	2449346	11311028
178	2464390	11303153
179	2477627	11286970
180	2490721	11270168
181	2506026	11263351
